EF21,TAETIGKEITSSCHLUESSEL4,EF41,EF10,B27,EF40,EF16U2,LEISTUNGSGRUPPE,B52,TAETIGKEITSSCHLUESSEL5
384951,1,15,2,aa,50,5,2,47.55230536764898,1
386287,2,68,1,aa,60,7,2,1042.4659981941184,4
386479,2,38,2,aa,35,6,2,28.320004589459252,3
386496,2,38,1,aa,63,2,1,335.87095735664553,4
386828,1,74,2,aa,40,6,1,546.5408495707054,3
386839,1,36,2,aa,43,7,5,80.79114210712109,3
386844,2,38,2,aa,28,7,2,816.2649275997559,4
387061,2,36,2,aa,39,7,2,26.65540967971061,4
389342,1,54,1,aa,19,6,2,369.9744537739163,4
389445,2,46,2,aa,7,5,1,768.0541794791792,4
389685,1,79,1,aa,35,5,1,650.7569172531745,4
389829,1,78,2,aa,50,4,3,1158.7366548358152,4
389986,1,54,1,aa,39,4,2,568.1169682754347,3
390088,2,59,1,aa,63,6,2,673.8097009722469,4
390467,2,36,1,aa,17,6,5,642.875893183613,4
390520,2,46,1,aa,55,6,2,1158.8513069404135,4
390613,2,41,1,aa,17,6,1,486.5523101070032,3
